Timestamp   BTC-candle.max-01-hs-1   BTC-candle.min-01-hs-1   BTC-candle.open-01-hs-1   BTC-candle.close-01-hs-1   BTC-volume.total-01-hs-1
1578488400000   8418.61   8215.2   8285.92   8384.99   7456.829609999999
1578492000000   8385   8184   8384.99   8310.98   6554.980779999998
1578495600000   8359   8237.36   8310.98   8305.97   3993.008669
1578499200000   8335.79   8050   8306.09   8115   12758.450281000001
1578502800000   8123.98   8010   8115   8077.68   7266.047229
1578506400000   8094.93   8035.01   8077.68   8053.7   2950.7627740000003
1578510000000   8069.73   7963.05   8053.7   7963.35   3758.461889
1578513600000   8060.86   7870   7963.56   8046.03   8887.842816999999
1578517200000   8048.66   7957.55   8046.42   8016.06   3140.0730550000007
1578520800000   8080   7988.58   8017.36   8076.13   2119.902017
1578524400000   8125.57   8023.55   8076.13   8055.98   2651.3092430000006
1578528000000   8055.96   7928   8054.72   7956.55   3517.430949999999
1578531600000   8037.37   7950   7956.88   8004.8   2413.123472999999
1578535200000   8026.01   7980   8004.05   7982.75   1579.537464
1578538800000   7993.46   7935.56   7983.09   7954.72   2480.168472
1578542400000   7978.31   7928   7954.96   7966.85   2053.9283859999996
1578546000000   7966.75   7925.68   7966.75   7941.83   1404.2700009999996
1578549600000   7951.68   7896   7941.99   7908.48   2068.1841299999996
1578553200000   7976.67   7903.4   7908.71   7949.84   2449.538327999999
1578556800000   7955.83   7909.3   7949.57   7933.1   1641.494387
1578560400000   7932.94   7864.24   7932.51   7872.35   3408.741356000001
1578564000000   7934.78   7852.01   7872.36   7896.38   2923.9981319999993
1578567600000   7901.99   7855   7895.56   7878.56   1911.857856
1578571200000   7917.68   7871   7878.02   7900.91   2162.9413720000007
1578574800000   7945   7891.43   7901.49   7897.52   2859.442365999999
1578578400000   7919.59   7875.55   7897.54   7885.5   1887.7594629999999
1578582000000   7930   7882.75   7885.5   7907.05   1555.4425189999993
1578585600000   7920.01   7805.01   7907.05   7818.15   4386.286631
1578589200000   7846   7778   7818.15   7798.6   3990.1751289999997
1578592800000   7832.13   7788.68   7798.23   7810.64   1529.0304529999999
1578596400000   7957.48   7810.3   7810.68   7917.54   3465.438657
1578600000000   8000   7805   7917.55   7818.3   6732.412788999999
1578603600000   7854.14   7750   7819.97   7789.96   4555.024481
